"species","gear","age","size"
"Mycteroperca microlepis","HL",1,1
"Mycteroperca microlepis","LL",2,6
"Mycteroperca microlepis","SP",3,11
"Mycteroperca microlepis","UA",4,16
"Mycteroperca microlepis","HL",5,21
"Mycteroperca microlepis","LL",6,26
"Mycteroperca microlepis","SP",7,31
"Mycteroperca microlepis","UA",8,36
"Mycteroperca microlepis","HL",9,41
"Mycteroperca microlepis","LL",10,46
"Mycteroperca microlepis","SP",11,51
"Mycteroperca microlepis","UA",12,56
"Mycteroperca microlepis","HL",13,61
"Mycteroperca microlepis","LL",14,66
"Mycteroperca microlepis","SP",15,71
"Mycteroperca microlepis","UA",16,76
"Mycteroperca microlepis","HL",17,81
"Mycteroperca microlepis","LL",18,86
"Mycteroperca microlepis","SP",19,91
"Mycteroperca microlepis","UA",20,96
